rms,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,max_intensity,dominant_freq,mfcc,duration,sound_category
0.003116993312187253,0.0826416015625,2418.761841192583,1611.0767797312908,3779.0771484375,0.018242758189905117,861.328125,"[-575.5050720501241, 197.436641902343, -159.8362279774863, 4.303472323148896, -31.45368423803119, -36.25935757016302, -21.463539110122305, -20.3594490957745, -10.329039850315347, -25.53840638344133, -9.82082112519809, -13.48896431096065, -22.472171144788156]",0.04063492063492069,klavesnice
0.004896004513734875,0.07421875,2392.7176896933197,1662.2299358761688,3746.77734375,0.027545735000714073,1156.640625,"[-510.92861095871103, 204.23588267073052, -156.50680949532398, 16.95747722226021, -28.177481544902943, -37.21906769330322, -23.422709078394526, -26.25176244086757, -3.909464051012166, -28.282981465232456, -21.176883095571327, -17.381124531833876, -14.850411897276976]",0.04063492063492069,klavesnice
0.004157870089513102,0.0861328125,2316.1502578420746,1619.3956406087186,3712.32421875,0.02137950889519301,823.046875,"[-555.8576009436003, 195.13749879418933, -156.90156051596514, -1.53062961002036, -33.54334967926309, -40.566370085792904, -18.44257839058632, -23.216256168412055, -2.2826200557152942, -18.747294964569647, -9.948505922334427, -6.131251689685636, -6.433429129501479]",0.052244897959183634,klavesnice
0.001764913429869334,0.0205078125,3557.470100577025,4343.7866106287875,6029.296875,0.004974056971899424,861.328125,"[-568.8597898273651, 99.67409351942062, -75.12741159735687, -45.2820703062785, -27.724699700998567, -33.99506220687842, -29.083183344866747, -3.8233036772112907, 5.845052839052382, 3.3123170559555692, 7.333554802019305, 8.264165012911032, 0.45254412084600293]",0.011609977324263054,klavesnice
0.0016520177088298839,0.0791015625,5178.542628712053,3641.3824712849246,7084.423828125,0.005346272762988182,3617.578125,"[-580.2420958945207, 30.64559282981075, -90.44917698022792, 18.721311480540766, -36.2210306384188, -49.76894339631737, -17.803828836780635, -9.599130652113937, 8.9181439320385, -7.185330029194945, -13.351796965938133, 6.980881806097375, -7.134359933842209]",0.01741496598639458,klavesnice
0.0025348350782843,0.0556640625,2460.056520397025,1599.9113150118746,3782.666015625,0.014706238242534813,1412.578125,"[-593.8132593070208, 184.54920377019735, -171.79506019358004, -5.209513960717226, -34.14816604121108, -31.5856674449609, -20.387828203129043, -23.520058790711545, -11.711927263163838, -27.196794599171213, -8.7933235133017, -4.90092917903233, -6.2279432832648025]",0.029024943310657636,klavesnice
0.002152644765586956,0.0556640625,2320.8109271929357,1776.1973544082193,3481.201171875,0.010783452190640346,818.26171875,"[-596.7210031867756, 187.9652409885089, -136.05125229742032, -9.197232281176099, -19.28050391586566, -41.10436938876011, -37.30396955912246, -30.010807975397018, -15.704030734679707, -19.07028904596493, -4.321221430724807, -5.85960050188179, -19.51096599467149]",0.02321995464852611,klavesnice
0.0025251947031624308,0.0595703125,2249.609263452042,1724.9005596563588,3456.0791015625,0.010547584413820543,890.0390625,"[-595.9353665257358, 189.12785184109237, -145.76297096537303, -8.024154477482409, -31.936363322623517, -37.54150026964425, -23.574922794289606, -25.84507948425197, 0.927254679784778, -6.9758821926105465, -2.441386933562445, 4.569477286361136, -3.5235082144468386]",0.03482993197278916,klavesnice
0.004866005545719374,0.0771484375,2618.771993831287,1315.3665795678155,3438.134765625,0.02644330811583492,3100.78125,"[-590.9849096367108, 175.8495975157563, -172.71773269106657, -18.39095980208964, -16.388576436289863, -38.05006921699124, -28.570014981373713, -11.578758760195043, 6.7696316570209385, -19.634235927714762, -3.8617329531941973, 4.520805445397783, -7.185249405725679]",0.029024943310657636,klavesnice
0.001867414705140245,0.04296875,2415.2092369991437,1918.7041134034273,3545.80078125,0.007907057223044966,904.39453125,"[-598.5361537617683, 169.371695263079, -134.17482895372498, -25.340360389924722, -11.96600484894982, -26.55759853665764, -16.6150147303622, -0.9974571813190404, 6.863633637426228, -3.9365904187447742, 3.2107139653842065, 5.884879023693858, -4.458470715027209]",0.02321995464852611,klavesnice
0.0020620911766724677,0.0478515625,2611.7902416342877,1986.130764736111,3962.109375,0.011514890096404677,1851.85546875,"[-603.8971443599231, 152.53714077519314, -138.4527414813597, -27.537821963544584, -2.6804315244015293, -27.292214472933818, -17.24193575651771, -11.734319651640186, -18.153500745864147, -14.099620568259404, 2.315486087181295, -12.089414805386111, -27.618842020069433]",0.02321995464852611,klavesnice
0.0022251375354872456,0.052897135416666664,2015.8153310119171,1432.8401111341334,3179.736328125,0.011580113422495958,861.328125,"[-627.0642263456092, 197.65962508191475, -157.4215374815314, -35.09010051896454, -40.87633101765089, -26.271143487889542, -27.231391314755854, -25.558598119447264, -5.003415169324613, -18.443010075348564, 2.680104992850906, 0.4653616558436762, -11.31214939584441]",0.0290249433106576,klavesnice
